filename,species,original_path,split
train\Bengal_Tiger\Bengal_Tiger_0000.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_031.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0001.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_054.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0002.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_059.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0003.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_010.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0004.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_034.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0005.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_026.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0006.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_010.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0007.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_029.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0008.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_039.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0009.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_026.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0010.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_006.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0011.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_031.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0012.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_009.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0013.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_040.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0014.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_050.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0015.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_036.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0016.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_017.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0017.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_007.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0018.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_035.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0019.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_054.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0020.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_008.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0021.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_044.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0022.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_013.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0023.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_008.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0024.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_024.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0025.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_028.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0026.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_020.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0027.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_036.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0028.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_041.jpg,train
train\Bengal_Tiger\Bengal_Tiger_0029.jpg,Bengal_Tiger,data\raw\Bengal_Tiger\bengal_tiger_009.jpg,train
